Year,Month,Division,District,Crime Type,Reported Number,Notes
2011,January,Karachi,South Zone,Murder,23,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,South Zone,Murder in the form of target killing,3,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,South Zone,Murder during dacoity/robbery,2,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,South Zone,Highway dacoity/robbery,0,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,South Zone,Bank dacoity/robbery,0,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,South Zone,Car snatching,11,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Murder,42,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Murder in the form of target killing,2,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Murder during dacoity/robbery,2,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Highway dacoity/robbery,8,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Bank dacoity/robbery,1,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,East Zone,Car snatching,38,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Murder,40,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Murder in the form of target killing,4,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Murder during dacoity/robbery,1,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Highway dacoity/robbery,0,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Bank dacoity/robbery,1,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,January,Karachi,West Zone,Car snatching,15,"File for January 2011 not available, calculated using formula: Cuml Feb-feb value"
2011,February,Karachi,South Zone,Murder,18,
2011,February,Karachi,South Zone,Murder in the form of target killing,0,
2011,February,Karachi,South Zone,Murder during dacoity/robbery,4,
2011,February,Karachi,South Zone,Highway dacoity/robbery,0,
2011,February,Karachi,South Zone,Bank dacoity/robbery,0,
2011,February,Karachi,South Zone,Car snatching,3,
2011,February,Karachi,East Zone,Murder,48,
2011,February,Karachi,East Zone,Murder in the form of target killing,2,
2011,February,Karachi,East Zone,Murder during dacoity/robbery,4,
2011,February,Karachi,East Zone,Highway dacoity/robbery,9,
2011,February,Karachi,East Zone,Bank dacoity/robbery,0,
2011,February,Karachi,East Zone,Car snatching,30,
2011,February,Karachi,West Zone,Murder,29,
2011,February,Karachi,West Zone,Murder in the form of target killing,0,
2011,February,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,February,Karachi,West Zone,Highway dacoity/robbery,0,
2011,February,Karachi,West Zone,Bank dacoity/robbery,0,
2011,February,Karachi,West Zone,Car snatching,20,
2011,March,Karachi,South Zone,Murder,18,
2011,March,Karachi,South Zone,Murder in the form of target killing,0,
2011,March,Karachi,South Zone,Murder during dacoity/robbery,4,
2011,March,Karachi,South Zone,Highway dacoity/robbery,0,
2011,March,Karachi,South Zone,Bank dacoity/robbery,0,
2011,March,Karachi,South Zone,Car snatching,3,
2011,March,Karachi,East Zone,Murder,48,
2011,March,Karachi,East Zone,Murder in the form of target killing,2,
2011,March,Karachi,East Zone,Murder during dacoity/robbery,4,
2011,March,Karachi,East Zone,Highway dacoity/robbery,9,
2011,March,Karachi,East Zone,Bank dacoity/robbery,0,
2011,March,Karachi,East Zone,Car snatching,30,
2011,March,Karachi,West Zone,Murder,29,
2011,March,Karachi,West Zone,Murder in the form of target killing,0,
2011,March,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,March,Karachi,West Zone,Highway dacoity/robbery,0,
2011,March,Karachi,West Zone,Bank dacoity/robbery,0,
2011,March,Karachi,West Zone,Car snatching,20,
2011,April,Karachi,South Zone,Murder,32,
2011,April,Karachi,South Zone,Murder in the form of target killing,4,
2011,April,Karachi,South Zone,Murder during dacoity/robbery,4,
2011,April,Karachi,South Zone,Highway dacoity/robbery,0,
2011,April,Karachi,South Zone,Bank dacoity/robbery,1,
2011,April,Karachi,South Zone,Car snatching,8,
2011,April,Karachi,East Zone,Murder,60,
2011,April,Karachi,East Zone,Murder in the form of target killing,5,
2011,April,Karachi,East Zone,Murder during dacoity/robbery,2,
2011,April,Karachi,East Zone,Highway dacoity/robbery,3,
2011,April,Karachi,East Zone,Bank dacoity/robbery,1,
2011,April,Karachi,East Zone,Car snatching,22,
2011,April,Karachi,West Zone,Murder,36,
2011,April,Karachi,West Zone,Murder in the form of target killing,2,
2011,April,Karachi,West Zone,Murder during dacoity/robbery,1,
2011,April,Karachi,West Zone,Highway dacoity/robbery,0,
2011,April,Karachi,West Zone,Bank dacoity/robbery,0,
2011,April,Karachi,West Zone,Car snatching,14,
2011,May,Karachi,South Zone,Murder,35,
2011,May,Karachi,South Zone,Murder in the form of target killing,2,
2011,May,Karachi,South Zone,Murder during dacoity/robbery,1,
2011,May,Karachi,South Zone,Highway dacoity/robbery,0,
2011,May,Karachi,South Zone,Bank dacoity/robbery,0,
2011,May,Karachi,South Zone,Car snatching,4,
2011,May,Karachi,East Zone,Murder,43,
2011,May,Karachi,East Zone,Murder in the form of target killing,1,
2011,May,Karachi,East Zone,Murder during dacoity/robbery,2,
2011,May,Karachi,East Zone,Highway dacoity/robbery,1,
2011,May,Karachi,East Zone,Bank dacoity/robbery,0,
2011,May,Karachi,East Zone,Car snatching,46,
2011,May,Karachi,West Zone,Murder,44,
2011,May,Karachi,West Zone,Murder in the form of target killing,2,
2011,May,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,May,Karachi,West Zone,Highway dacoity/robbery,0,
2011,May,Karachi,West Zone,Bank dacoity/robbery,0,
2011,May,Karachi,West Zone,Car snatching,8,
2011,June,Karachi,South Zone,Murder,52,
2011,June,Karachi,South Zone,Murder in the form of target killing,2,
2011,June,Karachi,South Zone,Murder during dacoity/robbery,1,
2011,June,Karachi,South Zone,Highway dacoity/robbery,0,
2011,June,Karachi,South Zone,Bank dacoity/robbery,0,
2011,June,Karachi,South Zone,Car snatching,8,
2011,June,Karachi,East Zone,Murder,67,
2011,June,Karachi,East Zone,Murder in the form of target killing,2,
2011,June,Karachi,East Zone,Murder during dacoity/robbery,5,
2011,June,Karachi,East Zone,Highway dacoity/robbery,1,
2011,June,Karachi,East Zone,Bank dacoity/robbery,0,
2011,June,Karachi,East Zone,Car snatching,29,
2011,June,Karachi,West Zone,Murder,57,
2011,June,Karachi,West Zone,Murder in the form of target killing,2,
2011,June,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,June,Karachi,West Zone,Highway dacoity/robbery,0,
2011,June,Karachi,West Zone,Bank dacoity/robbery,0,
2011,June,Karachi,West Zone,Car snatching,5,
2011,July,Karachi,South Zone,Murder,65,
2011,July,Karachi,South Zone,Murder in the form of target killing,1,
2011,July,Karachi,South Zone,Murder during dacoity/robbery,1,
2011,July,Karachi,South Zone,Highway dacoity/robbery,0,
2011,July,Karachi,South Zone,Bank dacoity/robbery,0,
2011,July,Karachi,South Zone,Car snatching,6,
2011,July,Karachi,East Zone,Murder,79,
2011,July,Karachi,East Zone,Murder in the form of target killing,4,
2011,July,Karachi,East Zone,Murder during dacoity/robbery,6,
2011,July,Karachi,East Zone,Highway dacoity/robbery,0,
2011,July,Karachi,East Zone,Bank dacoity/robbery,0,
2011,July,Karachi,East Zone,Car snatching,28,
2011,July,Karachi,West Zone,Murder,107,
2011,July,Karachi,West Zone,Murder in the form of target killing,1,
2011,July,Karachi,West Zone,Murder during dacoity/robbery,0,
2011,July,Karachi,West Zone,Highway dacoity/robbery,0,
2011,July,Karachi,West Zone,Bank dacoity/robbery,0,
2011,July,Karachi,West Zone,Car snatching,13,
2011,August,Karachi,South Zone,Murder,24,
2011,August,Karachi,South Zone,Murder in the form of target killing,1,
2011,August,Karachi,South Zone,Murder during dacoity/robbery,3,
2011,August,Karachi,South Zone,Highway dacoity/robbery,0,
2011,August,Karachi,South Zone,Bank dacoity/robbery,0,
2011,August,Karachi,South Zone,Car snatching,7,
2011,August,Karachi,East Zone,Murder,80,
2011,August,Karachi,East Zone,Murder in the form of target killing,0,
2011,August,Karachi,East Zone,Murder during dacoity/robbery,1,
2011,August,Karachi,East Zone,Highway dacoity/robbery,4,
2011,August,Karachi,East Zone,Bank dacoity/robbery,1,
2011,August,Karachi,East Zone,Car snatching,31,
2011,August,Karachi,West Zone,Murder,95,
2011,August,Karachi,West Zone,Murder in the form of target killing,0,
2011,August,Karachi,West Zone,Murder during dacoity/robbery,6,
2011,August,Karachi,West Zone,Highway dacoity/robbery,0,
2011,August,Karachi,West Zone,Bank dacoity/robbery,3,
2011,August,Karachi,West Zone,Car snatching,9,
2011,September,Karachi,South Zone,Murder,7,
2011,September,Karachi,South Zone,Murder in the form of target killing,0,
2011,September,Karachi,South Zone,Murder during dacoity/robbery,0,
2011,September,Karachi,South Zone,Highway dacoity/robbery,1,
2011,September,Karachi,South Zone,Bank dacoity/robbery,0,
2011,September,Karachi,South Zone,Car snatching,7,
2011,September,Karachi,East Zone,Murder,21,
2011,September,Karachi,East Zone,Murder in the form of target killing,1,
2011,September,Karachi,East Zone,Murder during dacoity/robbery,1,
2011,September,Karachi,East Zone,Highway dacoity/robbery,0,
2011,September,Karachi,East Zone,Bank dacoity/robbery,1,
2011,September,Karachi,East Zone,Car snatching,36,
2011,September,Karachi,West Zone,Murder,24,
2011,September,Karachi,West Zone,Murder in the form of target killing,0,
2011,September,Karachi,West Zone,Murder during dacoity/robbery,1,
2011,September,Karachi,West Zone,Highway dacoity/robbery,0,
2011,September,Karachi,West Zone,Bank dacoity/robbery,0,
2011,September,Karachi,West Zone,Car snatching,1,
2011,September,Karachi,Central Zone,Murder,9,
2011,September,Karachi,Central Zone,Murder in the form of target killing,0,
2011,September,Karachi,Central Zone,Murder during dacoity/robbery,1,
2011,September,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,September,Karachi,Central Zone,Bank dacoity/robbery,0,
2011,September,Karachi,Central Zone,Car snatching,6,
2011,September,Karachi,Malir,Murder,19,
2011,September,Karachi,Malir,Murder in the form of target killing,2,
2011,September,Karachi,Malir,Murder during dacoity/robbery,1,
2011,September,Karachi,Malir,Highway dacoity/robbery,4,
2011,September,Karachi,Malir,Bank dacoity/robbery,0,
2011,September,Karachi,Malir,Car snatching,0,
2011,October,Karachi,South Zone,Murder,13,
2011,October,Karachi,South Zone,Murder in the form of target killing,0,
2011,October,Karachi,South Zone,Murder during dacoity/robbery,2,
2011,October,Karachi,South Zone,Highway dacoity/robbery,0,
2011,October,Karachi,South Zone,Bank dacoity/robbery,1,
2011,October,Karachi,South Zone,Car snatching,5,
2011,October,Karachi,East Zone,Murder,24,
2011,October,Karachi,East Zone,Murder in the form of target killing,0,
2011,October,Karachi,East Zone,Murder during dacoity/robbery,1,
2011,October,Karachi,East Zone,Highway dacoity/robbery,0,
2011,October,Karachi,East Zone,Bank dacoity/robbery,1,
2011,October,Karachi,East Zone,Car snatching,53,
2011,October,Karachi,West Zone,Murder,27,
2011,October,Karachi,West Zone,Murder in the form of target killing,0,
2011,October,Karachi,West Zone,Murder during dacoity/robbery,3,
2011,October,Karachi,West Zone,Highway dacoity/robbery,0,
2011,October,Karachi,West Zone,Bank dacoity/robbery,0,
2011,October,Karachi,West Zone,Car snatching,1,
2011,October,Karachi,Central Zone,Murder,16,
2011,October,Karachi,Central Zone,Murder in the form of target killing,0,
2011,October,Karachi,Central Zone,Murder during dacoity/robbery,5,
2011,October,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,October,Karachi,Central Zone,Bank dacoity/robbery,2,
2011,October,Karachi,Central Zone,Car snatching,7,
2011,October,Karachi,Malir,Murder,18,
2011,October,Karachi,Malir,Murder in the form of target killing,0,
2011,October,Karachi,Malir,Murder during dacoity/robbery,1,
2011,October,Karachi,Malir,Highway dacoity/robbery,4,
2011,October,Karachi,Malir,Bank dacoity/robbery,0,
2011,October,Karachi,Malir,Car snatching,5,
2011,November,Karachi,South Zone,Murder,18,
2011,November,Karachi,South Zone,Murder in the form of target killing,0,
2011,November,Karachi,South Zone,Murder during dacoity/robbery,0,
2011,November,Karachi,South Zone,Highway dacoity/robbery,0,
2011,November,Karachi,South Zone,Bank dacoity/robbery,0,
2011,November,Karachi,South Zone,Car snatching,13,
2011,November,Karachi,East Zone,Murder,18,
2011,November,Karachi,East Zone,Murder in the form of target killing,2,
2011,November,Karachi,East Zone,Murder during dacoity/robbery,6,
2011,November,Karachi,East Zone,Highway dacoity/robbery,0,
2011,November,Karachi,East Zone,Bank dacoity/robbery,2,
2011,November,Karachi,East Zone,Car snatching,31,
2011,November,Karachi,West Zone,Murder,22,
2011,November,Karachi,West Zone,Murder in the form of target killing,0,
2011,November,Karachi,West Zone,Murder during dacoity/robbery,2,
2011,November,Karachi,West Zone,Highway dacoity/robbery,0,
2011,November,Karachi,West Zone,Bank dacoity/robbery,0,
2011,November,Karachi,West Zone,Car snatching,2,
2011,November,Karachi,Central Zone,Murder,2,
2011,November,Karachi,Central Zone,Murder in the form of target killing,1,
2011,November,Karachi,Central Zone,Murder during dacoity/robbery,2,
2011,November,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,November,Karachi,Central Zone,Bank dacoity/robbery,1,
2011,November,Karachi,Central Zone,Car snatching,10,
2011,November,Karachi,Malir,Murder,19,
2011,November,Karachi,Malir,Murder in the form of target killing,0,
2011,November,Karachi,Malir,Murder during dacoity/robbery,0,
2011,November,Karachi,Malir,Highway dacoity/robbery,3,
2011,November,Karachi,Malir,Bank dacoity/robbery,0,
2011,November,Karachi,Malir,Car snatching,4,
2011,December,Karachi,South Zone,Murder,18,
2011,December,Karachi,South Zone,Murder in the form of target killing,0,
2011,December,Karachi,South Zone,Murder during dacoity/robbery,5,
2011,December,Karachi,South Zone,Highway dacoity/robbery,0,
2011,December,Karachi,South Zone,Bank dacoity/robbery,0,
2011,December,Karachi,South Zone,Car snatching,7,
2011,December,Karachi,East Zone,Murder,24,
2011,December,Karachi,East Zone,Murder in the form of target killing,0,
2011,December,Karachi,East Zone,Murder during dacoity/robbery,2,
2011,December,Karachi,East Zone,Highway dacoity/robbery,0,
2011,December,Karachi,East Zone,Bank dacoity/robbery,1,
2011,December,Karachi,East Zone,Car snatching,33,
2011,December,Karachi,West Zone,Murder,25,
2011,December,Karachi,West Zone,Murder in the form of target killing,0,
2011,December,Karachi,West Zone,Murder during dacoity/robbery,2,
2011,December,Karachi,West Zone,Highway dacoity/robbery,0,
2011,December,Karachi,West Zone,Bank dacoity/robbery,0,
2011,December,Karachi,West Zone,Car snatching,3,
2011,December,Karachi,Central Zone,Murder,9,
2011,December,Karachi,Central Zone,Murder in the form of target killing,0,
2011,December,Karachi,Central Zone,Murder during dacoity/robbery,3,
2011,December,Karachi,Central Zone,Highway dacoity/robbery,0,
2011,December,Karachi,Central Zone,Bank dacoity/robbery,0,
2011,December,Karachi,Central Zone,Car snatching,10,
2011,December,Karachi,Malir,Murder,20,
2011,December,Karachi,Malir,Murder in the form of target killing,0,
2011,December,Karachi,Malir,Murder during dacoity/robbery,2,
2011,December,Karachi,Malir,Highway dacoity/robbery,4,
2011,December,Karachi,Malir,Bank dacoity/robbery,0,
2011,December,Karachi,Malir,Car snatching,4,
2012,January,Karachi,South Zone,Murder,13,
2012,January,Karachi,South Zone,Murder in the form of target killing,3,
2012,January,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,January,Karachi,South Zone,Highway dacoity/robbery,0,
2012,January,Karachi,South Zone,Bank dacoity/robbery,0,
2012,January,Karachi,South Zone,Car snatching,18,
2012,January,Karachi,East Zone,Murder,28,
2012,January,Karachi,East Zone,Murder in the form of target killing,1,
2012,January,Karachi,East Zone,Murder during dacoity/robbery,0,
2012,January,Karachi,East Zone,Highway dacoity/robbery,0,
2012,January,Karachi,East Zone,Bank dacoity/robbery,1,
2012,January,Karachi,East Zone,Car snatching,41,
2012,January,Karachi,West Zone,Murder,26,
2012,January,Karachi,West Zone,Murder in the form of target killing,0,
2012,January,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,January,Karachi,West Zone,Highway dacoity/robbery,0,
2012,January,Karachi,West Zone,Bank dacoity/robbery,0,
2012,January,Karachi,West Zone,Car snatching,1,
2012,January,Karachi,Central Zone,Murder,14,
2012,January,Karachi,Central Zone,Murder in the form of target killing,1,
2012,January,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,January,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,January,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,January,Karachi,Central Zone,Car snatching,9,
2012,January,Karachi,Malir,Murder,17,
2012,January,Karachi,Malir,Murder in the form of target killing,0,
2012,January,Karachi,Malir,Murder during dacoity/robbery,0,
2012,January,Karachi,Malir,Highway dacoity/robbery,8,
2012,January,Karachi,Malir,Bank dacoity/robbery,0,
2012,January,Karachi,Malir,Car snatching,3,
2012,February,Karachi,South Zone,Murder,20,
2012,February,Karachi,South Zone,Murder in the form of target killing,1,
2012,February,Karachi,South Zone,Murder during dacoity/robbery,0,
2012,February,Karachi,South Zone,Highway dacoity/robbery,0,
2012,February,Karachi,South Zone,Bank dacoity/robbery,0,
2012,February,Karachi,South Zone,Car snatching,8,
2012,February,Karachi,East Zone,Murder,22,
2012,February,Karachi,East Zone,Murder in the form of target killing,1,
2012,February,Karachi,East Zone,Murder during dacoity/robbery,1,
2012,February,Karachi,East Zone,Highway dacoity/robbery,0,
2012,February,Karachi,East Zone,Bank dacoity/robbery,1,
2012,February,Karachi,East Zone,Car snatching,33,
2012,February,Karachi,West Zone,Murder,32,
2012,February,Karachi,West Zone,Murder in the form of target killing,2,
2012,February,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,February,Karachi,West Zone,Highway dacoity/robbery,0,
2012,February,Karachi,West Zone,Bank dacoity/robbery,0,
2012,February,Karachi,West Zone,Car snatching,1,
2012,February,Karachi,Central Zone,Murder,15,
2012,February,Karachi,Central Zone,Murder in the form of target killing,1,
2012,February,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,February,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,February,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,February,Karachi,Central Zone,Car snatching,5,
2012,February,Karachi,Malir,Murder,26,
2012,February,Karachi,Malir,Murder in the form of target killing,0,
2012,February,Karachi,Malir,Murder during dacoity/robbery,1,
2012,February,Karachi,Malir,Highway dacoity/robbery,5,
2012,February,Karachi,Malir,Bank dacoity/robbery,0,
2012,February,Karachi,Malir,Car snatching,1,
2012,March,Karachi,South Zone,Murder,14,
2012,March,Karachi,South Zone,Murder in the form of target killing,2,
2012,March,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,March,Karachi,South Zone,Highway dacoity/robbery,0,
2012,March,Karachi,South Zone,Bank dacoity/robbery,0,
2012,March,Karachi,South Zone,Car snatching,12,
2012,March,Karachi,East Zone,Murder,36,
2012,March,Karachi,East Zone,Murder in the form of target killing,3,
2012,March,Karachi,East Zone,Murder during dacoity/robbery,0,
2012,March,Karachi,East Zone,Highway dacoity/robbery,0,
2012,March,Karachi,East Zone,Bank dacoity/robbery,0,
2012,March,Karachi,East Zone,Car snatching,31,
2012,March,Karachi,West Zone,Murder,31,
2012,March,Karachi,West Zone,Murder in the form of target killing,3,
2012,March,Karachi,West Zone,Murder during dacoity/robbery,0,
2012,March,Karachi,West Zone,Highway dacoity/robbery,0,
2012,March,Karachi,West Zone,Bank dacoity/robbery,0,
2012,March,Karachi,West Zone,Car snatching,1,
2012,March,Karachi,Central Zone,Murder,17,
2012,March,Karachi,Central Zone,Murder in the form of target killing,3,
2012,March,Karachi,Central Zone,Murder during dacoity/robbery,3,
2012,March,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,March,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,March,Karachi,Central Zone,Car snatching,7,
2012,March,Karachi,Malir,Murder,19,
2012,March,Karachi,Malir,Murder in the form of target killing,2,
2012,March,Karachi,Malir,Murder during dacoity/robbery,1,
2012,March,Karachi,Malir,Highway dacoity/robbery,5,
2012,March,Karachi,Malir,Bank dacoity/robbery,0,
2012,March,Karachi,Malir,Car snatching,3,
2012,April,Karachi,South Zone,Murder,36,
2012,April,Karachi,South Zone,Murder in the form of target killing,3,
2012,April,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,South Zone,Highway dacoity/robbery,0,
2012,April,Karachi,South Zone,Bank dacoity/robbery,0,
2012,April,Karachi,South Zone,Car snatching,13,
2012,April,Karachi,East Zone,Murder,34,
2012,April,Karachi,East Zone,Murder in the form of target killing,1,
2012,April,Karachi,East Zone,Murder during dacoity/robbery,4,
2012,April,Karachi,East Zone,Highway dacoity/robbery,0,
2012,April,Karachi,East Zone,Bank dacoity/robbery,1,
2012,April,Karachi,East Zone,Car snatching,34,
2012,April,Karachi,West Zone,Murder,47,
2012,April,Karachi,West Zone,Murder in the form of target killing,5,
2012,April,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,West Zone,Highway dacoity/robbery,0,
2012,April,Karachi,West Zone,Bank dacoity/robbery,0,
2012,April,Karachi,West Zone,Car snatching,0,
2012,April,Karachi,Central Zone,Murder,29,
2012,April,Karachi,Central Zone,Murder in the form of target killing,1,
2012,April,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,April,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,April,Karachi,Central Zone,Car snatching,6,
2012,April,Karachi,Malir,Murder,19,
2012,April,Karachi,Malir,Murder in the form of target killing,2,
2012,April,Karachi,Malir,Murder during dacoity/robbery,3,
2012,April,Karachi,Malir,Highway dacoity/robbery,5,
2012,April,Karachi,Malir,Bank dacoity/robbery,0,
2012,April,Karachi,Malir,Car snatching,1,
2012,May,Karachi,South Zone,Murder,28,
2012,May,Karachi,South Zone,Murder in the form of target killing,1,
2012,May,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,May,Karachi,South Zone,Highway dacoity/robbery,0,
2012,May,Karachi,South Zone,Bank dacoity/robbery,0,
2012,May,Karachi,South Zone,Car snatching,21,
2012,May,Karachi,East Zone,Murder,28,
2012,May,Karachi,East Zone,Murder in the form of target killing,10,
2012,May,Karachi,East Zone,Murder during dacoity/robbery,3,
2012,May,Karachi,East Zone,Highway dacoity/robbery,0,
2012,May,Karachi,East Zone,Bank dacoity/robbery,1,
2012,May,Karachi,East Zone,Car snatching,42,
2012,May,Karachi,West Zone,Murder,48,
2012,May,Karachi,West Zone,Murder in the form of target killing,8,
2012,May,Karachi,West Zone,Murder during dacoity/robbery,2,
2012,May,Karachi,West Zone,Highway dacoity/robbery,0,
2012,May,Karachi,West Zone,Bank dacoity/robbery,1,
2012,May,Karachi,West Zone,Car snatching,1,
2012,May,Karachi,Central Zone,Murder,19,
2012,May,Karachi,Central Zone,Murder in the form of target killing,1,
2012,May,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,May,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,May,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,May,Karachi,Central Zone,Car snatching,9,
2012,May,Karachi,Malir,Murder,26,
2012,May,Karachi,Malir,Murder in the form of target killing,0,
2012,May,Karachi,Malir,Murder during dacoity/robbery,0,
2012,May,Karachi,Malir,Highway dacoity/robbery,4,
2012,May,Karachi,Malir,Bank dacoity/robbery,0,
2012,May,Karachi,Malir,Car snatching,3,
2012,June,Karachi,South Zone,Murder,30,
2012,June,Karachi,South Zone,Murder in the form of target killing,16,
2012,June,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,June,Karachi,South Zone,Highway dacoity/robbery,0,
2012,June,Karachi,South Zone,Bank dacoity/robbery,1,
2012,June,Karachi,South Zone,Car snatching,11,
2012,June,Karachi,East Zone,Murder,30,
2012,June,Karachi,East Zone,Murder in the form of target killing,8,
2012,June,Karachi,East Zone,Murder during dacoity/robbery,2,
2012,June,Karachi,East Zone,Highway dacoity/robbery,0,
2012,June,Karachi,East Zone,Bank dacoity/robbery,0,
2012,June,Karachi,East Zone,Car snatching,33,
2012,June,Karachi,West Zone,Murder,40,
2012,June,Karachi,West Zone,Murder in the form of target killing,6,
2012,June,Karachi,West Zone,Murder during dacoity/robbery,0,
2012,June,Karachi,West Zone,Highway dacoity/robbery,0,
2012,June,Karachi,West Zone,Bank dacoity/robbery,0,
2012,June,Karachi,West Zone,Car snatching,1,
2012,June,Karachi,Central Zone,Murder,22,
2012,June,Karachi,Central Zone,Murder in the form of target killing,7,
2012,June,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,June,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,June,Karachi,Central Zone,Bank dacoity/robbery,2,
2012,June,Karachi,Central Zone,Car snatching,3,
2012,June,Karachi,Malir,Murder,22,
2012,June,Karachi,Malir,Murder in the form of target killing,1,
2012,June,Karachi,Malir,Murder during dacoity/robbery,1,
2012,June,Karachi,Malir,Highway dacoity/robbery,2,
2012,June,Karachi,Malir,Bank dacoity/robbery,0,
2012,June,Karachi,Malir,Car snatching,0,
2012,July,Karachi,South Zone,Murder,26,
